Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;DomesticTitles;EuropeanTitles;NationalTeamWin;TeamTitles;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore
Andriy Lunin;ua UKR;GK;26;6.0;6;540.0;6.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.0;0.0;0.0;0.17;Real Madrid;0.0;1.0;0.0;1.0;0.0;0.0;0.15;0.15;10.0
David Alaba;at AUT;DF;32;7.0;4;317.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;0.1;2.0;7.0;4.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.028391167192429026;0.028391167192429026;9.0
Endrick;br BRA;FW;18;22.0;3;363.0;4.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;2.5;2.5;0.5;3.0;12.0;8.0;32.0;0.25;Real Madrid;0.0;0.0;0.0;0.0;0.24793388429752067;0.6198347107438017;0.12396694214876033;0.7438016528925621;9.0
Jacobo Ramón;es ESP;DF;20;3.0;2;204.0;2.3;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.2;0.2;0.2;0.4;0.0;1.0;2.0;0.44;Real Madrid;0.0;0.0;0.0;0.0;0.4411764705882353;0.08823529411764706;0.08823529411764706;0.17647058823529413;9.0
Jesús Vallejo;es ESP;DF;28;3.0;1;103.0;1.1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;5.0;1.0;0.87;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.08737864077669905;0.08737864077669905;10.0
Fran;es ESP;GK;19;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Gonzalo García;es ESP;DF,FW;21;2.0;0;42.0;0.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;1.5;0.0;0.0;3.0;2.14;Real Madrid;0.0;0.0;0.0;0.0;0.0;1.0714285714285714;2.142857142857143;3.2142857142857144;10.0
Víctor Muñoz;es ESP;FW,DF;21;2.0;0;36.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.5;3.0;0.0;9.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;1.25;0.0;1.25;10.0
Chema;es ESP;MF;20;1.0;0;8.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Lorenzo Aguado;es ESP;DF;22;2.0;0;5.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Daniel Yáñez;es ESP;FW;18;1.0;0;2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Diego Aguado;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
David Jiménez;es ESP;DF;21;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Youssef Lekhedim;es ESP;DF;19;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Sergio Mestre;es ESP;GK;20;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Mario Rivas;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Victor Valdepeñas;es ESP;DF;18;0.0;0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Pedri;es ESP;MF;22;0.0;34;2799.0;31.1;4.0;5.0;9.0;4.0;0.0;0.0;3.0;0.0;2.2;2.2;7.4;9.6;92.0;355.0;134.0;0.29;Barcelona;0.0;0.0;1.0;1.0;0.12861736334405144;0.0707395498392283;0.2379421221864952;0.3086816720257235;7.0
Raphinha;br BRA;FW,MF;28;0.0;31;2776.0;30.8;18.0;9.0;27.0;16.0;2.0;2.0;4.0;0.0;19.2;17.6;12.1;29.7;93.0;135.0;344.0;0.81;Barcelona;0.0;0.0;0.0;0.0;0.5835734870317003;0.6224783861671469;0.3922910662824207;1.0147694524495676;6.0
Robert Lewandowski;pl POL;FW;36;0.0;31;2579.0;28.7;25.0;2.0;27.0;22.0;3.0;4.0;1.0;0.0;24.8;21.7;2.3;24.0;26.0;48.0;160.0;0.84;Barcelona;0.0;0.0;0.0;0.0;0.8724311748739821;0.8654517254749904;0.08026366808840635;0.9457153935633967;9.0
Lamine Yamal;es ESP;FW;17;0.0;30;2766.0;30.7;9.0;13.0;22.0;9.0;0.0;0.0;3.0;0.0;9.6;9.6;13.9;23.5;179.0;156.0;426.0;0.72;Barcelona;0.0;0.0;1.0;1.0;0.2928416485900217;0.3123644251626898;0.4522776572668113;0.764642082429501;7.0
Jules Koundé;fr FRA;DF;26;0.0;29;2605.0;28.9;2.0;3.0;5.0;2.0;0.0;0.0;4.0;0.0;1.8;1.8;3.9;5.7;44.0;165.0;190.0;0.17;Barcelona;0.0;0.0;0.0;0.0;0.0690978886756238;0.06218809980806143;0.13474088291746641;0.19692898272552783;6.0
Pau Cubarsí;es ESP;DF;18;0.0;28;2528.0;28.1;0.0;3.0;3.0;0.0;0.0;0.0;3.0;0.0;0.8;0.8;1.6;2.5;26.0;190.0;6.0;0.11;Barcelona;0.0;0.0;0.0;0.0;0.0;0.02848101265822785;0.0569620253164557;0.08544303797468356;7.0
Iñigo Martínez;es ESP;DF;34;0.0;28;2490.0;27.7;0.0;4.0;4.0;0.0;0.0;0.0;5.0;0.0;0.5;0.5;2.6;3.1;70.0;260.0;11.0;0.14;Barcelona;0.0;0.0;0.0;0.0;0.0;0.018072289156626505;0.09397590361445783;0.11204819277108434;5.0
Alejandro Balde;es ESP;DF;21;0.0;25;2204.0;24.5;0.0;4.0;4.0;0.0;0.0;0.0;2.0;0.0;0.5;0.5;3.4;3.9;104.0;90.0;241.0;0.16;Barcelona;0.0;0.0;1.0;1.0;0.0;0.020417422867513614;0.13883847549909256;0.15925589836660617;8.0
Marc Casado;es ESP;MF;21;0.0;20;1611.0;17.9;1.0;3.0;4.0;1.0;0.0;0.0;4.0;1.0;1.1;1.1;1.4;2.4;12.0;107.0;24.0;0.22;Barcelona;0.0;0.0;0.0;0.0;0.0558659217877095;0.06145251396648046;0.0782122905027933;0.13966480446927376;3.0
Wojciech Szczęsny;pl POL;GK;35;0.0;15;1350.0;15.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;10.0
Iñaki Peña;es ESP;GK;26;0.0;14;1306.0;14.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;3.0;0.0;0.0;Barcelona;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;9.0
Eric García;es ESP;DF,MF;24;0.0;13;1476.0;16.4;2.0;3.0;5.0;2.0;0.0;0.0;4.0;0.0;2.3;2.3;0.8;3.1;18.0;103.0;22.0;0.3;Barcelona;0.0;0.0;0.0;0.0;0.12195121951219513;0.1402439024390244;0.04878048780487806;0.18902439024390244;6.0
Dani Olmo;es ESP;MF,FW;27;0.0;13;1185.0;13.2;9.0;3.0;12.0;8.0;1.0;1.0;1.0;0.0;5.7;4.9;2.9;7.8;31.0;79.0;96.0;0.84;Barcelona;0.0;0.0;0.0;0.0;0.6835443037974683;0.4329113924050633;0.22025316455696203;0.6531645569620254;9.0
Gavi;es ESP;MF,FW;20;0.0;13;995.0;11.1;1.0;1.0;2.0;1.0;0.0;0.0;4.0;0.0;0.9;0.9;1.6;2.4;13.0;74.0;41.0;0.18;Barcelona;0.0;0.0;1.0;1.0;0.09045226130653267;0.0814070351758794;0.14472361809045228;0.22613065326633167;6.0
Ferrán Torres;es ESP;FW,MF;25;0.0;12;1106.0;12.3;10.0;6.0;16.0;10.0;0.0;0.0;1.0;1.0;8.0;8.0;3.1;11.0;23.0;35.0;98.0;1.3;Barcelona;0.0;0.0;0.0;0.0;0.8137432188065099;0.650994575045208;0.2522603978300181;0.9032549728752259;6.0
Fermin López;es ESP;MF,FW;22;0.0;11;1162.0;12.9;6.0;4.0;10.0;6.0;0.0;0.0;4.0;1.0;5.5;5.5;3.1;8.6;28.0;73.0;101.0;0.77;Barcelona;0.0;0.0;0.0;0.0;0.46471600688468157;0.4259896729776248;0.24010327022375216;0.6660929432013769;3.0
