Player;Nation;Pos;Age;MP;Starts;Min;90s;Gls;Ast;G+A;G-PK;PK;PKatt;CrdY;CrdR;xG;npxG;xAG;npxG+xAG;PrgC;PrgP;PrgR;G+A-PK;clubs;GoalsPer90;xGPer90;xAPer90;xGContribution;FairPlayScore;Nb_IndividualTitles;IndividualTitlesDetail;TeamTitles_Team;TeamTitlesDetail;ImpactScore;RecordsScore;PopularityScore;Finalist_UCL;BookmakersScore
Dani Carvajal;es ESP;DF;33;8.0;7;609.0;6.8;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;1.3;1.3;0.2;1.5;13.0;27.0;48.0;0.15;Real Madrid;0.1477832512315271;0.1921182266009852;0.0295566502463054;0.2216748768472906;9.0;0;Aucun;1.0;Supercoupe UEFA;;;;;
Andriy Lunin;ua UKR;GK;26;6.0;6;540.0;6.0;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.9;0.9;0.0;0.0;0.0;0.17;Real Madrid;0.0;0.0;0.15;0.15;10.0;0;Aucun;1.0;Supercoupe UEFA;;;;;
David Alaba;at AUT;DF;32;7.0;4;317.0;3.5;0.0;0.0;0.0;0.0;0.0;0.0;1.0;0.0;0.0;0.0;0.1;0.1;2.0;7.0;4.0;0.0;Real Madrid;0.0;0.0;0.028391167192429;0.028391167192429;9.0;0;Aucun;;;;;;;
Endrick;br BRA;FW;18;22.0;3;363.0;4.0;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;2.5;2.5;0.5;3.0;12.0;8.0;32.0;0.25;Real Madrid;0.2479338842975206;0.6198347107438017;0.1239669421487603;0.7438016528925621;9.0;0;Aucun;;;;;;;
Jacobo Ramón;es ESP;DF;20;3.0;2;204.0;2.3;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;0.2;0.2;0.2;0.4;0.0;1.0;2.0;0.44;Real Madrid;0.4411764705882353;0.088235294117647;0.088235294117647;0.1764705882352941;9.0;0;Aucun;;;;;;;
Jesús Vallejo;es ESP;DF;28;3.0;1;103.0;1.1;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.1;0.1;0.0;5.0;1.0;0.87;Real Madrid;0.0;0.0;0.087378640776699;0.087378640776699;10.0;0;Aucun;;;;;;;
Fran;es ESP;GK;19;1.0;1;90.0;1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
Gonzalo García;es ESP;DF,FW;21;2.0;0;42.0;0.5;0.0;1.0;1.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;1.0;1.5;0.0;0.0;3.0;2.14;Real Madrid;0.0;1.0714285714285714;2.142857142857143;3.2142857142857144;10.0;0;Aucun;;;;;;;
Víctor Muñoz;es ESP;FW,DF;21;2.0;0;36.0;0.4;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.5;0.5;0.0;0.5;3.0;0.0;9.0;0.0;Real Madrid;0.0;1.25;0.0;1.25;10.0;0;Aucun;;;;;;;
Chema;es ESP;MF;20;1.0;0;8.0;0.1;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;Real Madrid;0.0;0.0;0.0;0.0;10.0;0;Aucun;;;;;;;
